,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,Cloud9,3,31,0.7,0.15625,0.33,0.0,0.57,0.59,0.8925,0.26,0.5025,1.0,0.0,0.0,1.0,1.0,0.0,3,29,0.72,0.1111111111111111,0.0,0.25,0.61,0.38,0.74,0.1075,0.4974999999999999,1.0,0.0,0.0,1.0,1.0,0.0,1
1,NRG Esports,3,29,0.72,0.1111111111111111,0.0,0.25,0.61,0.38,0.74,0.1075,0.4974999999999999,1.0,0.0,0.0,1.0,1.0,0.0,3,31,0.7,0.15625,0.33,0.0,0.57,0.59,0.8925,0.26,0.5025,1.0,0.0,0.0,1.0,1.0,0.0,0
2,KRÜ Esports,4,29,0.74,0.1724137931034483,0.0,0.5,0.56,0.56,0.6599999999999999,0.2875,0.555,1.0,0.14,0.0,1.0,1.0,0.0,2,25,0.7,0.1515151515151515,0.25,0.0,0.44,0.6,0.7125,0.3399999999999999,0.445,0.86,0.0,0.0,1.0,1.0,0.0,1
3,LOUD,2,25,0.7,0.1515151515151515,0.25,0.0,0.44,0.6,0.7125,0.3399999999999999,0.445,0.86,0.0,0.0,1.0,1.0,0.0,4,29,0.74,0.1724137931034483,0.0,0.5,0.56,0.56,0.6599999999999999,0.2875,0.555,1.0,0.14,0.0,1.0,1.0,0.0,0
4,G2 Esports,3,25,0.75,0.2272727272727272,0.0,0.25,0.67,0.67,0.8524999999999999,0.275,0.6825,0.9666666666666668,0.0,0.0,0.94,1.0,0.0,1,18,0.67,0.1538461538461538,0.33,0.0,0.45,0.43,0.725,0.1475,0.3175,1.0,0.0333333333333333,0.06,1.0,0.0,0.0,1
5,FURIA,1,18,0.67,0.1538461538461538,0.33,0.0,0.45,0.43,0.725,0.1475,0.3175,1.0,0.0333333333333333,0.06,1.0,0.0,0.0,3,25,0.75,0.2272727272727272,0.0,0.25,0.67,0.67,0.8524999999999999,0.275,0.6825,0.9666666666666668,0.0,0.0,0.94,1.0,0.0,0
6,MIBR,4,23,0.76,0.3,0.0,0.0,0.55,0.64,0.8725,0.2775,0.8066666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0,19,0.67,0.0769230769230769,0.0,0.0,0.0,0.6,0.7225,0.1275,0.1933333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1
7,Leviatán,0,19,0.67,0.0769230769230769,0.0,0.0,0.0,0.6,0.7225,0.1275,0.1933333333333333,1.0,0.0,0.0,1.0,0.0,0.0,4,23,0.76,0.3,0.0,0.0,0.55,0.64,0.8725,0.2775,0.8066666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0
8,2Game Esports,1,23,0.63,0.1612903225806451,0.25,0.0,0.25,0.56,0.6775,0.125,0.365,0.7766666666666667,0.0,0.0,0.5,1.0,0.0,3,22,0.76,0.3333333333333333,1.0,0.0,0.6,0.62,0.875,0.3225,0.635,1.0,0.2233333333333333,0.0,1.0,1.0,0.0,0
9,Evil Geniuses,3,22,0.76,0.3333333333333333,1.0,0.0,0.6,0.62,0.875,0.3225,0.635,1.0,0.2233333333333333,0.0,1.0,1.0,0.0,1,23,0.63,0.1612903225806451,0.25,0.0,0.25,0.56,0.6775,0.125,0.365,0.7766666666666667,0.0,0.0,0.5,1.0,0.0,1
10,Sentinels,4,24,0.72,0.2272727272727272,0.0,0.0,0.6,0.74,0.9575,0.6125,0.95,1.0,0.25,0.0,1.0,0.0,0.0,2,30,0.7,0.0285714285714285,0.33,0.0,0.4,0.4,0.3875,0.0425,0.05,0.75,0.0,0.0,1.0,1.0,0.0,1
11,100 Thieves,2,30,0.7,0.0285714285714285,0.33,0.0,0.4,0.4,0.3875,0.0425,0.05,0.75,0.0,0.0,1.0,1.0,0.0,4,24,0.72,0.2272727272727272,0.0,0.0,0.6,0.74,0.9575,0.6125,0.95,1.0,0.25,0.0,1.0,0.0,0.0,0
12,NRG Esports,3,35,0.78,0.1,0.0,0.0,0.9,0.69,0.6725,0.35,0.5349999999999999,1.0,0.0666666666666666,0.0,1.0,1.0,0.0,3,20,0.6,0.0909090909090909,0.0,0.0,0.35,0.36,0.65,0.0775,0.4649999999999999,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,1
13,FURIA,3,20,0.6,0.0909090909090909,0.0,0.0,0.35,0.36,0.65,0.0775,0.4649999999999999,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,3,35,0.78,0.1,0.0,0.0,0.9,0.69,0.6725,0.35,0.5349999999999999,1.0,0.0666666666666666,0.0,1.0,1.0,0.0,0
14,Sentinels,1,18,0.69,0.0,0.0,0.5,0.29,0.44,0.7625,0.05,0.2,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,3,23,0.7,0.3333333333333333,0.0,0.0,0.63,0.69,0.95,0.2375,0.8,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0
15,KRÜ Esports,3,23,0.7,0.3333333333333333,0.0,0.0,0.63,0.69,0.95,0.2375,0.8,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,1,18,0.69,0.0,0.0,0.5,0.29,0.44,0.7625,0.05,0.2,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,1
16,100 Thieves,2,25,0.71,0.2608695652173913,0.5,0.67,0.5,0.64,0.9325,0.2875,0.4549999999999999,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,2,19,0.7,0.1034482758620689,0.0,0.25,0.44,0.41,0.7125,0.0675,0.545,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,1
